,StockName,avg_profit,NTrades,total_profit,timeseries
0,INFIBEAM,63.08252223617576,3296.0,207919.9932904353,5d
1,YESBANK,50.098313591406736,3806.0,190674.18152889403,5d
2,HDFCBANK,31.29149944918089,4799.0,150167.9058566191,5d
3,GRASIM,40.27504619024206,3695.0,148816.2956729444,5d
4,RELIANCE,21.106019330920784,5965.0,125897.40530894249,1d
5,RELCAPITAL,29.434099802538547,4266.0,125565.86975762944,5d
6,BHARATFIN,35.15282947836886,3340.0,117410.45045775198,5d
7,SUNTV,14.003455883370805,6010.0,84160.76985905854,1d
8,KOTAKBANK,17.716373606873063,4434.0,78554.40057287517,5d
9,DHFL,17.899875727339396,4158.0,74427.68327427721,5d
